,title,links,publication_date,venue,link4download,num_citations,num_downloads_cu,abstract
58,A hybrid defense mechanism for DDoS attacks using cluster analysis in MANET,https://dl.acm.org/citation.cfm?id=2345444&preflayout=flat,August 2012,"ICACCI '12: Proceedings of the International Conference on Advances in Computing, Communications and Informatics",https://dl.acm.org/ft_gateway.cfm?id=2345444&ftid=1271517&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,251,"Mobile Ad-hoc Networks (MANET) provides direct peer-to-peer communication between mobile nodes without any infrastructure. During data transfer, it is possible that an attacker may initiate Distributed Denial of Service (DDoS) that may interfere the entire communication. In this paper, we propose a Hybrid Defense Mechanism based on Cluster Analysis. The network traffic is investigated for the existence of DDoS using Cluster Analysis. The traffic thus investigated is subject to XOR marking which marks the non-legitimate traffic. This helps in identification of the node initiating the DDoS attack, thereby isolates the particular node from further communications. The experimentation is done with 2000 DARPA Intrusion Detection Scenario Specific Data Set to evaluate our method. From the experimental results, it is evident that our proposed scheme is effective in identification of DDoS attacks."
59,FL-GUARD: A Detection and Defense System for DDoS Attack in SDN,https://dl.acm.org/citation.cfm?id=3058074&preflayout=flat,March 2017,"ICCSP '17: Proceedings of the 2017 International Conference on Cryptography, Security and Privacy",https://dl.acm.org/ft_gateway.cfm?id=3058074&ftid=1867170&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,2,467,"This paper proposed a new detection and prevention system against DDoS (Distributed Denial of Service) attack in SDN (software defined network) architecture, FL-GUARD (Floodlight-based guard system). Based on characteristics of SDN and centralized control, etc., FL-GUARD applies dynamic IP address binding to solve the problem of IP spoofing, and uses 3.3.2 C-SVM algorithm to detect attacks, and finally take advantage of the centralized control of software-defined network to issue flow tables to block attacks at the source port. The experiment results show the effectiveness of our system. The modular design of FL-GUARD lays a good foundation for the future improvement."
60,DDoS attacks on the internet of things and their prevention methods,https://dl.acm.org/citation.cfm?id=3231057&preflayout=flat,June 2018,ICFNDS '18: Proceedings of the 2nd International Conference on Future Networks and Distributed Systems,https://dl.acm.org/ft_gateway.cfm?id=3231057&ftid=1999984&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,251,"The Internet of Things (IoT) vulnerabilities provides an ideal target for botnets, making them a major contributor in the increased number of Distributed Denial of Service (DDoS) attacks. The increase in DDoS attacks has made it important to address the consequences it implies on the IoT industry being one of the major causes. The aim of this paper is to provide an analysis of the attempts to prevent DDoS attacks, mainly at a network level. The sensibility of these solutions is extracted from their impact in resolving IoT vulnerabilities. It is evident from this review that there is no perfect solution yet for IoT security, this field still has many opportunities for research and development."
61,Towards lightweight and efficient DDOS attacks detection for web server,https://dl.acm.org/citation.cfm?id=1526896&preflayout=flat,April 2009,WWW '09: Proceedings of the 18th international conference on World wide web,https://dl.acm.org/ft_gateway.cfm?id=1526896&ftid=641752&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,452,"In this poster, based on our previous work in building a lightweight DDoS (Distributed Denial-of-Services) attacks detection mechanism for web server using TCM-KNN (Transductive Confidence Machines for K-Nearest Neighbors) and genetic algorithm based instance selection methods, we further propose a more efficient and effective instance selection method, named E-FCM (Extend Fuzzy C-Means). By using this method, we can obtain much cheaper training time for TCM-KNN while ensuring high detection performance. Therefore, the optimized mechanism is more suitable for lightweight DDoS attacks detection in real network environment."
62,Moving Target Defense against DDoS Attacks: An Empirical Game-Theoretic Analysis,https://dl.acm.org/citation.cfm?id=2995279&preflayout=flat,October 2016,MTD '16: Proceedings of the 2016 ACM Workshop on Moving Target Defense,https://dl.acm.org/ft_gateway.cfm?id=2995279&ftid=1805867&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,406,"Distributed denial-of-service attacks are an increasing problem facing web applications, for which many defense techniques have been proposed, including several moving-target strategies. These strategies typically work by relocating targeted services over time, increasing uncertainty for the attacker, while trying not to disrupt legitimate users or incur excessive costs. Prior work has not shown, however, whether and how a rational defender would choose a moving-target method against an adaptive attacker, and under what conditions. We formulate a denial-of-service scenario as a two-player game, and solve a restricted-strategy version of the game using the methods of empirical game-theoretic analysis. Using agent-based simulation, we evaluate the performance of strategies from prior literature under a variety of attacks and environmental conditions. We find evidence for the strategic stability of various proposed strategies, such as proactive server movement, delayed attack timing, and suspected insider blocking, along with guidelines for when each is likely to be most effective."
63,A DDoS attack detection mechanism based on protocol specific traffic features,https://dl.acm.org/citation.cfm?id=2393249&preflayout=flat,October 2012,"CCSEIT '12: Proceedings of the Second International Conference on Computational Science, Engineering and Information Technology",https://dl.acm.org/ft_gateway.cfm?id=2393249&ftid=1308153&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,574,This paper focuses on finding the most relevant and smallest possible subset of features for DDoS attack detection. A generic architecture of victim end DDoS defense mechanisms is presented and a near real time anomaly detection mechanism with high detection accuracy is introduced. The method is evaluated based on two real time and one benchmark dataset.
64,A novel approach in securing DDoS attack,https://dl.acm.org/citation.cfm?id=1456240&preflayout=flat,October 2008,CSTST '08: Proceedings of the 5th international conference on Soft computing as transdisciplinary science and technology,https://dl.acm.org/ft_gateway.cfm?id=1456240&ftid=581102&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,167,"The DDoS attack is one of the existing security problems of online service. The current defense mechanism is very weak, because of the inherent TCP/IP protocol problems. This paper focuses on the overload protection mechanism for Router. We use the physical topology to do the simulation and propose the Bypass Guardian System (BGS) that can prevent the Distributed Denial of Service (DDoS) attack. This system can detect attack traffic and then redirect the traffic to the system itself. At the same time, the BGS can also monitor the traffic, filtering redirection, and proxy server."
65,Detection of DDoS attack and defense against IP spoofing,https://dl.acm.org/citation.cfm?id=1523200&preflayout=flat,January 2009,"ICAC3 '09: Proceedings of the International Conference on Advances in Computing, Communication and Control",https://dl.acm.org/ft_gateway.cfm?id=1523200&ftid=642149&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,2,821,"This paper provide the way of finding the legitimacy of a packet by analyzing the number of hops that packet gone through before reaching at the destination. Problem with IP packet is that the contents of the packet can be changed easily. This is called IP spoofing, which is being very much used in Distributed Denial-of-Service (DDoS) attacks. they are very hard to detect, there is no comprehensive solution."
66,Dolus: Cyber Defense using Pretense against DDoS Attacks in Cloud Platforms,https://dl.acm.org/citation.cfm?id=3154346&preflayout=flat,January 2018,ICDCN '18: Proceedings of the 19th International Conference on Distributed Computing and Networking,https://dl.acm.org/ft_gateway.cfm?id=3154346&ftid=1939885&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,133,"Cloud-hosted services are being increasingly used in online businesses in e.g., retail, healthcare, manufacturing, entertainment due to benefits such as scalability and reliability. These benefits are fueled by innovations in orchestration of cloud platforms that make them totally programmable as Software Defined everything Infrastructures (SDxI). At the same time, sophisticated targeted attacks such as Distributed Denial-of-Service (DDoS) are growing on an unprecedented scale threatening the availability of online businesses. In this paper, we present a novel defense system called Dolus to mitigate the impact of DDoS attacks launched against high-value services hosted in SDxI-based cloud platforms. Our Dolus system is able to initiate a 'pretense' in a scalable and collaborative manner to deter the attacker based on threat intelligence obtained from attack feature analysis in a two-stage ensemble learning scheme. Using foundations from pretense theory in child play, Dolus takes advantage of elastic capacity provisioning via 'quarantine virtual machines' and SDxI policy co-ordination across multiple network domains to deceive the attacker by creating a false sense of success. From the time gained through pretense initiation, Dolus enables cloud service providers to decide on a variety of policies to mitigate the attack impact, without disrupting the cloud services experience for legitimate users. We evaluate the efficacy of Dolus using a GENI Cloud testbed and demonstrate its real-time capabilities to: (a) detect DDoS attacks and redirect attack traffic to quarantine resources to engage the attacker under pretense, and (b) coordinate SDxI policies to possibly block DDoS attacks closer to the attack source(s)."
67,Distributed and Predictive-Preventive Defense Against DDoS Attacks,https://dl.acm.org/citation.cfm?id=2684503&preflayout=flat,January 2015,ICDCN '15: Proceedings of the 2015 International Conference on Distributed Computing and Networking,https://dl.acm.org/ft_gateway.cfm?id=2684503&ftid=1550480&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,234,"Distributed Denial of Service (DDoS) attacks are a perpetual threat to today's business. Existing strategies against DDoS are implemented as single-point solutions, or reactive solutions, or focus on differentiating traffic and localizing attackers. Our understanding is that no single network location can cater to the needs of a full-proof defense solution. In this paper we propose a solution based on two principles -- 'distributed defense for distributed attack' and 'need for a preventive solution over a reactive solution'. We present a system architecture for distributed and predictive-preventive defense mechanism. We also propose two algorithms for systematic placement of the defense nodes in the victim's upstream router network. We compare the performance and efficiency of the proposed algorithms through simulation results. We also present an algorithmic approach for prediction of attack to determine the potential attackers as well as the time-to-saturation of victim. We present experimental evaluation to show the effectiveness of the proposed approach."
68,DAD-MCNN: DDoS Attack Detection via Multi-channel CNN,https://dl.acm.org/citation.cfm?id=3318329&preflayout=flat,February 2019,ICMLC '19: Proceedings of the 2019 11th International Conference on Machine Learning and Computing,https://dl.acm.org/ft_gateway.cfm?id=3318329&ftid=2058004&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,34,"With the continuous development of web services, the web security becomes more and more important. Distributed Denial of Service (DDoS) attack as one of the most common form of attacks, has produced serious economic damages. DDoS attack detection as one of main defense methods is suffered increasing attention by researchers. Most of them use machine learning methods to make good detection performance. However, there are still gaps between real detection rate and expected one, conventional machine learning methods are limited compared with deep learning. In this paper, we propose DAD-MCNN, a multi-channel CNN(MC-CNN) based DDoS attack detection framework, which can fully utilize information from a huge amount of network packages and set up an earlier warning system. Our contributions can be summarized as follows: (1) we propose a new preprocessing method for the network dataset. (2) MC-CNN is applied to detect DDoS attack and the detection result is decided by data in respective channels. (3) We use incremental training method to optimize training procedures and time in MC-CNN. (4) The experiment result shows that MC-CNN has the highest accuracy compared with conventional machine learning methods. The result also proves that our approach has performed well not only in DDoS attack detection but also in other anomaly attack detection."
69,Identifying the Scan and Attack Infrastructures Behind Amplification DDoS Attacks,https://dl.acm.org/citation.cfm?id=2978293&preflayout=flat,October 2016,CCS '16: Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security,https://dl.acm.org/ft_gateway.cfm?id=2978293&ftid=1805747&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,"3,502","Amplification DDoS attacks have gained popularity and become a serious threat to Internet participants. However, little is known about where these attacks originate, and revealing the attack sources is a non-trivial problem due to the spoofed nature of the traffic."
70,Cloud-Side Shuffling Defenses against DDoS Attacks on Proxied Multiserver Systems,https://dl.acm.org/citation.cfm?id=3140650&preflayout=flat,November 2017,CCSW '17: Proceedings of the 2017 on Cloud Computing Security Workshop,https://dl.acm.org/ft_gateway.cfm?id=3140650&ftid=1917304&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,238,"We consider a cloud based multiserver system, consisting of a set of replica application servers behind a set of proxy (indirection) servers which interact directly with clients over the Internet. We address cloud-side proactive and reactive defenses to combat DDoS attacks that may target this system. DDoS attacks are endemic with some notable attacks occurring just this past fall. Volumetric attacks may target proxies while ""low volume"" attacks may target replicas. After reviewing existing and proposed defenses, such as changing proxy IP addresses (a ""moving target"" technique to combat the reconnaissance phase of the botnet) and fission of overloaded servers, we focus on evaluation of defenses based on shuffling client-to-server assignments that can be both proactive and reactive to a DDoS attack. Our evaluations are based on a binomial distribution model that well agrees with simulations and preliminary experiments on a prototype that is also described."
71,Mitigating loT Device based DDoS Attacks using Blockchain,https://dl.acm.org/citation.cfm?id=3211946&preflayout=flat,June 2018,CryBlock'18: Proceedings of the 1st Workshop on Cryptocurrencies and Blockchains for Distributed Systems,https://dl.acm.org/ft_gateway.cfm?id=3211946&ftid=1977186&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,278,"Many IoT devices lack memory and computational complexities of modern computing devices, making them vulnerable to a wide range of cyber attacks. Among these, DDoS attacks are a growing concern in IoT. Such attacks are executed through the introduction of rogue devices and then using them and/or other compromised devices to facilitate DDoS attacks by generating relentless traffic. This paper aims to address DDoS security issues in IoT by proposing an integration of IoT devices with blockchain. This paper uses Ethereum, a blockchain variant, with smart contracts to replace the traditional centralized IoT infrastructure with a decentralized one. IoT devices are then required to access the network using smart contracts. The integration of IoT with Ethereum not only prevents rogue devices from gaining access to the server but also addresses DDoS attacks by using static resource allocation for devices."
72,Dynamic Binary User-Splits to Protect Cloud Servers from DDoS Attacks,https://dl.acm.org/citation.cfm?id=2556900&preflayout=flat,December 2013,ICCC '13: Proceedings of the Second International Conference on Innovative Computing and Cloud Computing,https://dl.acm.org/ft_gateway.cfm?id=2556900&ftid=1444081&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,125,"Several overlay-based solutions have been proposed to protect network servers from DoS/DDoS attacks. The common objective in the existing solutions is to prevent the attacking traffic from reaching the servers by hiding the location of target server computers. The recent evolutions in DDoS attacks, especially in the increase in the number of bots involved in a DDoS attack and in the degree of control such bots have to the hijacked host computers, cause serious threats to the overlay-based solutions. We designed and assessed the potential of the new overlay-based security architecture that addresses the recent evolutions in DDoS attacks. The new security architecture, called ""Dynamic Binary User-Splits (DBUS)"", is designed to protect cloud servers (a) when their legitimate users convert to DoS/DDoS attackers or (b) when DDoS attacks are launched from the legitimate users' host computers that are hijacked by DDoS coordinators. DBUS copes with the situations by sieving attacking traffic from the hijacked legitimate users' host computers using dynamic binary user splits over the migrating entry points to an overlay network. Our discrete event driven simulation suggested that DBUS will efficiently sieve DDoS attacking hosts in many different situations, when a small number of attacking hosts hide behind a large legitimate user group, or when a stampede of DDoS attacking hosts occupy the majority of incoming traffic, without requiring a large number of migrating entry points. We also found that how quickly each migrating entry point can detect excess traffic is a key to keep convergence delay short."
73,Three Tier Network Architecture to Mitigate DDoS Attacks on Hybrid Cloud Environments,https://dl.acm.org/citation.cfm?id=2905169&preflayout=flat,March 2016,ICTCS '16: Proceedings of the Second International Conference on Information and Communication Technology for Competitive Strategies,https://dl.acm.org/ft_gateway.cfm?id=2905169&ftid=1784437&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,113,"With the rise of cyber-attacks on cloud systems globally, Cloud Service Providers, Data carrier and hosting providers are forced to provide consideration to the novel challenges posed and requirements for attacks and more specifically DDoS protection in large hosting environment setups. This paper proposes use of multi-tiered network design based on Hybrid cloud solution comprising of an On-premise solution as well as a public cloud infrastructure capable of handling hurricane sized DDoS storms."
74,On modeling and simulation of game theory-based defense mechanisms against DoS and DDoS attacks,https://dl.acm.org/citation.cfm?id=1878703&preflayout=flat,April 2010,SpringSim '10: Proceedings of the 2010 Spring Simulation Multiconference,https://dl.acm.org/ft_gateway.cfm?id=1878703&ftid=859650&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,7,476,"As cyber attacks continue to grow in number, scope, and severity, the cyber security problem has become increasingly important and challenging to both academic researchers and industry practitioners. We explore the applicability of game theoretic approaches to the cyber security problem with focus on active bandwidth depletion attacks. We model the interaction between the attacker and the defender as a two-player non-zero-sum game in two attack scenarios: (i) one single attacking node for Denial of Service (DoS) and (ii) multiple attacking nodes for Distributed DoS (DDoS). The defender's challenge is to determine optimal firewall settings to block rogue traffics while allowing legitimate ones. Our analysis considers the worst-case scenario where the attacker also attempts to find the most effective sending rate or botnet size. In either case, we build both static and dynamic game models to compute the Nash equilibrium that represents the best strategy of the defender. We validate the effectiveness of our game theoretic defense mechanisms via extensive simulation-based experiments using NS-3."
75,Caught Hacker: Curing DDOS Attack,https://dl.acm.org/citation.cfm?id=2905213&preflayout=flat,March 2016,ICTCS '16: Proceedings of the Second International Conference on Information and Communication Technology for Competitive Strategies,https://dl.acm.org/ft_gateway.cfm?id=2905213&ftid=1783962&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,112,"In Present scenario, maintaining information security is very difficult especially on internet or public network. Without strong security measures information can be accessed by any attacker very easily. In this modern world, there are many attacking techniques for accessing others information or to block the path so that no one can access information. One of the most common and popular attack is DDOS [Distributed Denial Of Service] attack, in which attacker blocks the path to access information or any site by sending enormous amount of request to the server."
76,SDN Control Plane Security in Cloud Computing Against DDoS Attack,https://dl.acm.org/citation.cfm?id=2979843&preflayout=flat,August 2016,AICTC '16: Proceedings of the International Conference on Advances in Information Communication Technology & Computing,https://dl.acm.org/ft_gateway.cfm?id=2979843&ftid=1813663&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,260,"In Software Defined Networking a Denial-of- Service (DoS) or Distributed Denial-of-Service (DDoS) attack is an attempt to make a machine or network resources unreachable for its particular users. so, the require for security of such network controller against attacks from within or outside a network is very more important. Although network devices in OpenFlow can also be targeted by attackers and so required a Defense mechanism to avoid problems in smooth packet forwarding attack. SDN Give the Functionality to Overcome DDoS Attack use Control plan and data plan. Also, they manage the network use SDN controller to monitor network. SDN network flexibility provides they interface OpenFlow and switches network by Mininet. That all are merge to single centralized control point."
77,Cooperative Signaling of DDoS Attacks in a Blockchain-based Network,https://dl.acm.org/citation.cfm?id=3342300&preflayout=flat,August 2019,SIGCOMM Posters and Demos '19: Proceedings of the ACM SIGCOMM 2019 Conference Posters and Demos,https://dl.acm.org/ft_gateway.cfm?id=3342300&ftid=2079933&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,100,"Driven by the increasing number of stationary and portable devices, Distributed Denial-of-Service (DDoS) attacks pose a major threat to Internet availability. While advantages of cooperative defenses have been widely recognized over traditional on-premise defenses, there is not a widespread deployment of such cooperative defenses. This work demonstrates the Blockchain Signaling System (BloSS), a modular, network-agnostic and cooperative DDoS defense system consisting of independent instances working together to mitigate attacks targeted at any member of this alliance."
78,FDDA: A Framework For Fast Detecting Source Attack In Web Application DDoS Attack,https://dl.acm.org/citation.cfm?id=3155173&preflayout=flat,December 2017,SoICT 2017: Proceedings of the Eighth International Symposium on Information and Communication Technology,https://dl.acm.org/ft_gateway.cfm?id=3155173&ftid=1933923&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,83,"Anomaly detection techniques usually require a training phase in order to capture the normality traits (typical features) of a given system which is considered as in a state free of attack. The efficiency of detecting abnormal signals mainly depends on processing time and the quality of featured data learned from the training phase. In this research, we propose a framework for fast detecting DDoS attack (FDDA) which can improve the speed and efficiency in detecting an on-going DDoS attack to web application, and hence greatly reduce the training time."
79,Tracers placement for IP traceback against DDoS attacks,https://dl.acm.org/citation.cfm?id=1143620&preflayout=flat,July 2006,IWCMC '06: Proceedings of the 2006 international conference on Wireless communications and mobile computing,https://dl.acm.org/ft_gateway.cfm?id=1143620&ftid=362675&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,562,This paper explores the 
80,Tempesta: a framework for HTTP DDoS attacks mitigation,https://dl.acm.org/citation.cfm?id=2735539&preflayout=flat,November 2014,CASCON '14: Proceedings of 24th Annual International Conference on Computer Science and Software Engineering,https://dl.acm.org/ft_gateway.cfm?id=2735539&ftid=1543003&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,51,"Modern application layer HTTP DDoS attacks employ complex techniques that make them difficult to detect. So modern DDoS defense approaches are also based on sophisticated methods to classify HTTP requests. Usually, these methods require exhaustive data on user activity from different layers of protocol stack, mainly from network, transport and application layers."
81,An efficient analytical solution to thwart DDoS attacks in public domain,https://dl.acm.org/citation.cfm?id=1523203&preflayout=flat,January 2009,"ICAC3 '09: Proceedings of the International Conference on Advances in Computing, Communication and Control",https://dl.acm.org/ft_gateway.cfm?id=1523203&ftid=642152&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,509,"In this paper, an analytical model for DDoS attacks detection is proposed, in which propagation of abrupt traffic changes inside public domain is monitored to detect a wide range of DDoS attacks. Although, various statistical measures can be used to construct profile of the traffic normally seen in the network to identify anomalies whenever traffic goes out of profile, we have selected volume and flow measure. Consideration of varying tolerance factors make proposed detection system scalable to the varying network conditions and attack loads in real time. NS-2 network simulator on Linux platform is used as simulation testbed. Simulation results show that our proposed solution gives a drastic improvement in terms of detection rate and false positive rate. However, the mammoth volume generated by DDoS attacks pose the biggest challenge in terms of memory and computational overheads as far as monitoring and analysis of traffic at single point connecting victim is concerned. To address this problem, a distributed cooperative technique is proposed that distributes memory and computational overheads to all edge routers for detecting a wide range of DDoS attacks at early stage."
82,Mouse Features for DDoS Attacks Detection in the Application Layer,https://dl.acm.org/citation.cfm?id=3149609&preflayout=flat,October 2017,ICIME 2017: Proceedings of the 9th International Conference on Information Management and Engineering,https://dl.acm.org/ft_gateway.cfm?id=3149609&ftid=1935869&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,35,"DDoS attacks are a threat to the security of the network. In recent years these attacks have been directed especially against the application layer. This phenomenon is mainly due to the large number of existing tools available for the easy generation of this type of attack. The methods used in the application layer reach detection rates of between 98.5 and 98.32%. Therefore, the problem of detecting DDoS attacks persists. In this work we propose a detection alternative based on the dynamism of the web user. To do this, two mouse characteristics are evaluated: movement and right click. A dataset of 11055 applications was also used, from which the two characteristics were extracted and entered into a classification algorithm. To this end, a Java application was developed for the classification of real users and those behind DDoS attacks. The results show that the proposed characteristics achieve an efficiency of 100%. It is concluded that these characteristics reveal the dynamism of the user and can be used as a method of detection of DDoS attacks."
83,A Demonstration of the DeDoS Platform for Defusing Asymmetric DDoS Attacks in Data Centers,https://dl.acm.org/citation.cfm?id=3131990&preflayout=flat,August 2017,SIGCOMM Posters and Demos '17: Proceedings of the SIGCOMM Posters and Demos,https://dl.acm.org/ft_gateway.cfm?id=3131990&ftid=1900240&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,2,207,"We propose a demonstration of DeDoS, a platform for mitigating asymmetric DDoS attacks. These attacks are particularly challenging since attackers using limited resources can exhaust the resources of even well-provisioned servers. DeDoS resolves this by splitting monolithic software stacks into separable components called minimum splittable units (MSUs). If part of the application stack is experiencing a DDoS attack, DeDoS can massively replicate only the affected MSUs, potentially across many machines. This allows scaling of the impacted resource separately from the rest of the application stack so that resources can be precisely added where needed to combat the attack. Our demonstration will show that DeDoS incurs reasonable overheads in normal operations and that it significantly outperforms naïve replication when defending against a range of asymmetric attacks."
84,IP fast hopping protocol design,https://dl.acm.org/citation.cfm?id=2687238&preflayout=flat,October 2014,CEE-SECR '14: Proceedings of the 10th Central and Eastern European Software Engineering Conference in Russia,https://dl.acm.org/ft_gateway.cfm?id=2687238&ftid=1522628&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,146,"Denial-of-Service attacks are the largest threat to Internet and the Internet of Things despite the fact that a large number of defense approaches has been proposed by the research community. In this paper we introduce IP Fast Hopping, effective network layer software solution against DDoS attacks. Our technology hides real IP address of a server behind a large pool of IP addresses belongs to a number of routers in different networks. Our method provides a network layer approach to prevent unauthorized access to a server that sometimes is important for the Internet of Things. Our approach implies real-time changing of server's IP address according to a schedule which is available only for authorized clients (so, our method is not applicable for publicly available Internet resources). This schedule is unique for each client connection and each entry in this schedule is being calculated dynamically on both edges of secured connection independently using a special pseudo-random function. To implement this requirement, during connection establishing between a new authorized client and the server, the client receives initial server's IP (which will be used for high level protocols on client side), pool of IP addresses (unordered set of IP address related to a set of ""edge"" routers) and unique session ID. The special network layer software installed on client's terminal changes destination IP address of the packet on an address from the IP pool according to value of a special pseudo-random function with the following arguments: session unique ID and time of packet's creation (value of timestamp field into TCP header). After that, this packet is being traversed to one of ""edge"" routers according to common switching protocols. The router checks (using the same pseudo-random function) that destination address is correct and, if yes, redirects this packet to real server IP or, otherwise, drops the packet. The same procedure is applied for server's responses to clients."
85,Tail Attacks on Web Applications,https://dl.acm.org/citation.cfm?id=3133968&preflayout=flat,October 2017,CCS '17: Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security,https://dl.acm.org/ft_gateway.cfm?id=3133968&ftid=1916336&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,2,261,"As the extension of Distributed Denial-of-Service (DDoS) attacks to application layer in recent years, researchers pay much interest in these new variants due to a low-volume and intermittent pattern with a higher level of stealthiness, invaliding the state-of-the-art DDoS detection/defense mechanisms. We describe a new type of low-volume application layer DDoS attack--Tail Attacks on Web Applications. Such attack exploits a newly identified system vulnerability of n-tier web applications (millibottlenecks with sub-second duration and resource contention with strong dependencies among distributed nodes) with the goal of causing the long-tail latency problem of the target web application (e.g., 95th percentile response time > 1 second) and damaging the long-term business of the service provider, while all the system resources are far from saturation, making it difficult to trace the cause of performance degradation."
86,"A Hybrid Approach for Dynamic Intrusion Detection, Enhancement of Performance and Security in MANET",https://dl.acm.org/citation.cfm?id=2905291&preflayout=flat,March 2016,ICTCS '16: Proceedings of the Second International Conference on Information and Communication Technology for Competitive Strategies,https://dl.acm.org/ft_gateway.cfm?id=2905291&ftid=1783886&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,68,"Mobile ad hoc networking (MANET) has been most popular research area for last decade. In MANET node (mobile node) is communicate with each other over wireless link where all nodes behave like both as host and router. In comparison with wired networks, mobile network is more vulnerable to security threat because of no centralized administration. One of the momentous routing protocols used in MANET is AODV (Ad hoc On demand Distance Vector) protocol. The Ad hoc On demand Distance Vector (AODV) protocol is compromised with its security by a various types of attacks due to malicious nodes present in the network. A hybrid approach is given for intrusion detection by removing malicious nodes during the route discovery process. The proposed approach increases the network performance in terms of PDR, throughput and end to end delay and security also."
87,Traffic dispersion graph based anomaly detection,https://dl.acm.org/citation.cfm?id=2069227&preflayout=flat,October 2011,SoICT '11: Proceedings of the Second Symposium on Information and Communication Technology,https://dl.acm.org/ft_gateway.cfm?id=2069227&ftid=1056598&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,5,530,"Detecting and diagnosing anomalous traffic are important aspects of managing IP networks. In this paper, we propose a novel approach to detect anomalous network traffic based on graph theory concepts such as degree distribution, maximum degree and dK-2 distance. In this approach, we have used the traffic dispersion graphs (TDG) to model network traffic over time. We analyze differences of TDG graphs in time series to detect anomalies and introduce a method to identify attack patterns in anomalous traffic. The approach has been validated by using network traces from POSTECH and CAIDA."
